,location,surface,rooms,bathrooms,surface_price_rate,premium?,days_from_last_update,price
0,Barcelona - La Marina-Montjuïc,76,3,2,"12,50",True,23,950
1,Barcelona - Dreta de l´Eixample,79,2,2,"15,06",True,0,1190
2,Barcelona - Sant Gervasi - Galvany,100,3,2,"14,06",True,2,1406
3,Barcelona - Sagrada Família,59,2,1,"16,22",True,22,957
4,Barcelona - Raval,90,3,1,"16,56",True,2,1490
5,Barcelona - Sagrada Família,105,4,2,"9,86",True,3,1035
6,Barcelona - Baix Guinardó,53,3,1,"14,72",True,3,780
7,Barcelona - Sant Gervasi - Galvany,260,5,3,"11,35",True,5,2950
8,Barcelona - Esquerra Alta de l´Eixample,95,2,1,"10,00",True,5,950
9,Barcelona - Camp de l´Arpa,80,3,2,"15,00",True,3,1200
10,Barcelona - Poble Sec,70,3,1,"20,00",True,2,1400
11,Barcelona - Gòtic,61,1,1,"12,30",True,3,750
12,Barcelona - Sant Gervasi - Galvany,203,5,4,"14,78",True,5,3000
13,Barcelona - Camp d´en Grassot - Gràcia N.,45,1,1,"17,78",True,5,800
14,Barcelona - La Bordeta,53,1,1,"22,26",True,2,1180
15,Barcelona - Esquerra Alta de l´Eixample,95,3,1,"12,11",False,2,1150
16,Barcelona - Sant Gervasi - Galvany,127,3,2,"23,62",False,3,3000
17,Barcelona - Hostafrancs,50,1,1,"15,90",False,2,795
18,Barcelona - Les Corts,111,3,2,"18,02",False,0,2000
19,Barcelona - Putget - Farró,65,1,1,"25,38",False,5,1650
20,Barcelona - Verdun,59,3,1,"14,41",False,5,850
21,Barcelona - Pedralbes,140,4,3,"18,07",False,4,2530
22,Barcelona - Vilapicina - Torre Llobeta,73,3,1,"12,19",False,3,890
23,Barcelona - Verdun,59,2,1,"14,41",False,5,850
24,Barcelona - Dreta de l´Eixample,78,3,2,"14,10",False,5,1100
25,Barcelona - Sant Gervasi - Galvany,55,1,1,"17,27",False,5,950
26,Barcelona - La Sagrera,65,1,1,"13,85",False,4,900
27,Barcelona - Sant Andreu,74,1,2,"10,54",False,5,780
28,Barcelona - Pedralbes,224,4,3,"17,41",False,3,3900
29,Barcelona - Sant Gervasi - Galvany,110,3,2,"10,91",False,2,1200
30,Barcelona - Esquerra Alta de l´Eixample,65,1,1,"14,77",False,2,960
31,Barcelona - Sant Ramon - Maternitat,56,4,1,"15,66",False,2,877
32,Barcelona - Sant Gervasi - Bonanova,154,5,3,"20,78",False,0,3200
33,Barcelona - Sant Gervasi - Galvany,49,2,1,"23,82",False,11,1167
34,Barcelona - Esquerra Alta de l´Eixample,74,3,1,"16,22",False,5,1200
35,Barcelona - Guinardó,73,3,2,"14,79",False,5,1080
36,Barcelona - Camp d´en Grassot - Gràcia N.,50,1,19,2,False,5,950
37,Barcelona - Verdun,59,2,1,"14,83",False,5,875
38,Barcelona - St. Pere - Sta. Caterina - El Born,65,1,1,"11,92",False,2,775
39,Barcelona - Raval,35,1,1,"19,71",False,2,690
40,Barcelona - Tres Torres,272,5,3,"11,76",False,0,3200
41,Barcelona - Esquerra Alta de l´Eixample,110,3,2,"12,50",False,2,1375
42,Barcelona - Dreta de l´Eixample,95,3,2,"18,42",False,2,1750
43,Barcelona - Sagrada Família,65,2,1,"12,69",False,3,825
44,Barcelona - Sant Gervasi - Galvany,83,3,2,"15,36",True,4,1275
45,Barcelona - Raval,80,2,1,"9,94",True,5,795
46,Barcelona - Verdun,65,3,1,"13,69",True,2,890
47,Barcelona - Fort Pienc,80,4,2,"36,88",True,4,2950
48,Barcelona - Tres Torres,299,5,4,"10,70",True,6,3200
49,Barcelona - Sant Gervasi - Galvany,85,3,2,"12,94",True,9,1100
50,Barcelona - Vilapicina - Torre Llobeta,80,3,2,"10,88",True,0,870
51,Barcelona - Esquerra Baixa de l´Eixample,73,1,1,"13,70",True,5,1000
52,Barcelona - Sant Gervasi - Galvany,210,4,4,"13,57",True,3,2850
53,Barcelona - Sant Gervasi - Galvany,200,4,4,"23,50",True,0,4700
54,Barcelona - Sarrià,180,3,3,"19,44",True,2,3500
55,Barcelona - Sant Gervasi - Galvany,250,4,3,"16,80",True,0,4200
56,Barcelona - Sant Gervasi - Galvany,200,4,3,"17,25",True,4,3450
57,Barcelona - El Clot,193,5,2,"8,03",True,3,1550
58,Barcelona - Sagrada Família,75,2,2,"15,93",True,0,1195
59,Barcelona - Gòtic,188,4,2,"10,64",True,0,2000
60,Barcelona - Esquerra Baixa de l´Eixample,62,2,1,"15,16",True,0,940
61,Barcelona - Poble Sec,60,2,1,"13,33",True,4,800
62,Barcelona - Camp d´en Grassot - Gràcia N.,105,4,2,"12,38",True,3,1300
63,Barcelona - Pedralbes,210,3,2,"20,00",True,0,4200
64,Barcelona - Sant Gervasi - Galvany,200,5,2,"11,00",True,5,2200
65,Barcelona - Sarrià,129,4,2,"26,54",True,4,3424
66,Barcelona - Gòtic,107,3,2,"22,82",True,4,2442
67,Barcelona - Vila de Gràcia,60,1,1,"21,80",True,4,1308
68,Barcelona - La Sagrera,80,3,2,"13,75",True,9,1100
69,Barcelona - Les Corts,91,3,1,"14,29",True,10,1300
70,Barcelona - Tres Torres,175,5,2,"18,29",True,3,3200
71,Barcelona - Esquerra Alta de l´Eixample,111,3,2,"19,82",True,2,2200
72,Barcelona - Fort Pienc,80,3,2,"14,38",True,2,1150
73,Barcelona - Provençals del Poblenou,117,3,2,"12,82",True,4,1500
74,Barcelona - Vila de Gràcia,60,1,1,"21,78",True,4,1307
75,Barcelona - Tres Torres,150,4,3,"19,33",True,3,2900
76,Barcelona - Sarrià,124,4,2,"29,19",True,4,3619
77,Barcelona - Sarrià,96,2,2,"26,81",True,4,2574
78,Barcelona - Turó de la Peira - Can Peguera,70,2,1,"12,14",True,0,850
79,Barcelona - Vila de Gràcia,59,1,1,"36,36",True,4,2145
80,Barcelona - Tres Torres,145,3,2,"22,76",True,3,3300
81,Barcelona - Esquerra Alta de l´Eixample,75,2,2,"30,00",True,2,2250
82,Barcelona - El Clot,68,3,1,"12,50",True,3,850
83,Barcelona - Fort Pienc,77,3,2,"13,64",True,4,1050
84,Barcelona - Camp d´en Grassot - Gràcia N.,88,3,2,"15,34",True,4,1350
85,Barcelona - Sant Gervasi - Galvany,105,3,1,"10,95",True,0,1150
86,Barcelona - Camp d´en Grassot - Gràcia N.,81,2,1,"19,72",True,4,1597
87,Barcelona - Tres Torres,174,4,3,"18,97",True,3,3300
88,Barcelona - Sarrià,83,2,2,"32,52",True,4,2699
89,Barcelona - Dreta de l´Eixample,150,4,2,"13,33",True,2,2000
90,Barcelona - Dreta de l´Eixample,133,3,1,"10,53",True,3,1400
91,Barcelona - Sant Gervasi - Galvany,101,2,2,"13,37",True,4,1350
92,Barcelona - Raval,41,1,1,"18,17",True,7,745
93,Barcelona - Raval,150,4,2,"9,33",True,2,1400
94,Barcelona - Sant Antoni,55,2,14,2,True,14,800
95,Barcelona - Vilapicina - Torre Llobeta,90,2,1,"10,00",True,3,900
96,Barcelona - Tres Torres,316,5,3,"12,50",True,3,3950
97,Barcelona - Sant Ramon - Maternitat,90,2,2,"15,00",True,0,1350
98,Barcelona - Dreta de l´Eixample,60,2,1,"14,83",True,0,890
99,Barcelona - El Clot,66,2,1,"12,88",True,4,850
